"id","text","category","theme","executor"
"1","Почему бы не сделать какой-нибудь настил, не скользящий в морозы и не скользкий в дождь, на пешеходном мосту через реку Трубеж между ТЦ Метро и Премьер. Девушкам на каблуках там вообще не пройти, на велосипеде колёса проворачиваются и скользко, у бабушек и обычных людей ноги подкашиваются и вызывает страх идти по этому мосту, потому что ненароком смотришь вниз. Конечно здорово, что появился этот мост, но надо его продумать до конца, всё же после его установки пешеходный поток увеличился. Уверен, вам будут благодарны жители, которые там ходят.","Дворовая территория","Проблемы свободного проезда и прохода для транспорта и пешеходов","Управление благоустройства города"
"2","В 2016 году на улице Крупской у 10 поликлиники повесили знаки ""парковка запрещена"" и ""работает эвакуатор"". Ранее все там парковались либо в грязи у входа в поликлинику, либо на проезжей части. А где паркуются автомобили всегда грязно и невозможно пройти по тротуару прилегающему к дороге. Хотелось бы чтобы там сделали парковку, и машинам будет место для парковки и не грязно будет пешеходам, которые ходят там. Места много, вам будут благодарны и пешеходы и автомобилисты.","Парковки","Вопросы платных парковок","Управление транспорта"
"3","Когда движешься по Солотчинскому шоссе, в сторону Солотчи, на указателе мозолит глаз и сбивает водителя ванадльный иероглиф. Его бы не мешало удалить со знака. Нарисован он там уже давно.","Дороги","Повреждение или отсутствие дорожных знаков или дорожной разметки","Управление благоустройства города"
"4","Приезжал к знакомому на ул. Шевченко 36/50 (2-я Линия 50), он мне решил пожаловаться на отсутствие освещения во дворе и прилегающей территории. Я был удивлён когда наступил вечер и уходил от него с включенным фонариком на телефоне (ну вообще ничего не видно). Очень много мелких аварийных ситуаций с автомобилями, не помогают даже включенные фары. Особенно неудобно в период конца лета, осени и зимой, когда на улице темнеет рано и требуется освещение + густая растительность загораживает в вечерний период лучи солнца, когда ещё достаточно свело. Вырубать деревья конечно не нужно, требуется не это. Огромная просьба от жильцов и от меня сделать уличное освещение. Даже 3-4 фонаря улучшат обстановку. Рядом всё же и РязГМУ, там и студенты ходят, центр города. Я надеюсь на скорейший и положительный ответ.","Городская территория","Не работает уличное освещение","Управление благоустройства города"
"5","Не работает освещение на ул. Магистральной напротив дома 64/22 по ул. Октябрьская (фактически перекрёсток Октябрьской-Магистральной), не освещается чуть более 200 метров. Ходить в вечернее время невозможно, очень страшно, рядом перекрёсток и люди часто перебегают дорогу т.к. нет пешеходного перехода оборудованного и часто люди спотыкаются на ямах. Огромная просьба вернуть хотя бы освещение, это единственные фонари на этой дороге. Очень-очень хотелось конечно узнать по срокам выполнения работы! Жильцы будут сильно благодарны всем, если сделаете в ближайшее время.","Городская территория","Не работает уличное освещение","Управление благоустройства города"
"6","Нужно установить знаки остановок для маршруток 31, 42 и 4 троллейбуса на улице Юбилейной напротив дома №2 и напротив дома №63 по Московскому шоссе.","Остановки общественного транспорта","Некачественное содержание остановок общественного транспорта","Управление благоустройства города"
"7","Просьба повесить указатель-табличку с названием моста на Первомайском проспекте - ""Троицкий мост""","Дороги","Повреждение или отсутствие дорожных знаков или дорожной разметки","Управление благоустройства города"
"8","На 7-м Мервинском проезде выдран лежачий полицейский снегоуборочной машиной в начале 2017 года. Неисправность по направлению из города на Московский, перед въездом во двор дома по ул. Вишнёвой д.21 кор.1. Сейчас там торчат большие штыри, которые могут проколоть шины у автомобилей","Дороги","Повреждение или отсутствие искусственных неровностей (лежачих полицейских)","Управление благоустройства города"
"9","Сделать заезд маршруток 31 и 42 на остановку улица Крупской (конечная 4 и 17 троллейбуса). Сейчас маршрутки останавливаются на пешеходном переходе с 2012 года, что нарушает ПДД. Нужно чтобы они делали круг, где останавливаются троллейбусы 4 и 17, и 47 маршрутка.","Остановки общественного транспорта","Некачественное содержание остановок общественного транспорта","Управление благоустройства города"
"10","12 апреля 2017 года на ул. 7-й Мервинский и 8-й Мервинский проезд спилили как здоровые, так и полусухие (дававшие листву не на всех ветвях) деревья. Считаю необходимо компенсировать спиленные деревья посадкой новых, иначе если так постоянно спиливать под корень, нам нечем будет дышать и экология города пострадает, особенно в спальных и в районах частной застройкой. Понятно, что спиливали ради ""спасения"" линий электропередач, и в случае повреждения ЛЭП это будет стоить немалых затрат. Список улиц где были спилены деревья: 7-ой Мервинский проезд, дома с №1 по №33; 8-ой Мервинский проезд, дома с №12 по №36. 7-ой Мервинский проезд, дома с №6 по №40; Мервинская, дом №51. Место для посадки предлагаю организовать в безопасной зоне от ЛЭП в проездах к домам по ул. Вишнёвой 21 кор. 1, 21 кор. 2, 21 кор. 4 (21 кор. 6 - пристройка). Там есть уже посадки, но некоторые уже погибли и засохли. Необходимо посадить как минимум 3-5 деревьев. Надеюсь на понимание, кроме нас о природе никто не позаботится.","Дворовая территория","Ненадлежащий уход за зелеными насаждениями","Управление благоустройства города"
